time_ms;amp_mean;amp_std;amp_max;phase_std;i_mean;q_mean;label
26781;34.75;11.85;55.04;2.558;-34.40;2.31;1
27248;28.62;9.87;46.17;0.098;-8.49;-27.19;1
27260;32.78;11.48;52.80;0.125;12.75;-29.94;1
27287;21.09;7.50;35.06;2.678;-20.95;0.52;1
27291;34.24;21.15;68.10;0.090;-17.27;29.41;1
27744;31.04;11.27;51.97;0.143;8.24;29.62;1
27762;33.44;11.47;54.42;0.089;-11.43;-31.28;1
27766;29.13;10.33;47.76;0.107;-9.98;27.19;1
27789;34.48;21.25;69.77;0.119;16.54;30.03;1
27793;36.05;21.60;71.61;0.093;-28.71;21.54;1
28246;29.06;10.42;46.17;0.101;-9.84;27.18;1
28259;28.75;10.57;46.87;0.094;23.33;16.58;1
28282;33.39;11.96;53.76;0.134;-22.31;24.45;1
28285;30.20;10.67;48.01;0.248;29.17;-3.28;1
28744;21.62;8.14;35.17;0.134;-4.52;20.96;1
28762;29.20;10.46;46.65;0.117;-14.36;-25.19;1
28786;31.11;11.32;50.61;0.194;23.82;-19.17;1
28790;30.94;11.52;50.45;0.155;25.09;-17.51;1
28794;30.65;11.46;51.00;0.114;11.77;28.09;1
29248;31.79;11.52;51.09;0.156;22.92;21.52;1
29265;33.25;20.37;65.00;0.106;30.39;-13.07;1
29286;22.48;8.23;36.35;0.106;3.09;22.14;1
29291;32.35;11.36;52.20;0.119;11.30;-30.08;1
29294;20.91;7.51;33.96;0.102;20.06;-5.49;1
29749;22.28;7.69;36.06;0.097;-20.74;-7.87;1
29760;31.40;11.16;50.54;0.156;12.33;28.49;1
29764;31.80;11.30;51.62;0.097;26.92;-16.67;1
29785;29.23;10.57;47.20;0.089;17.16;23.53;1
30247;20.92;7.41;33.54;0.142;20.09;-5.12;1
30256;29.50;10.61;48.10;0.094;22.12;19.34;1
30260;21.03;7.58;34.06;0.295;17.14;10.72;1
30290;32.90;11.20;51.48;0.088;3.51;-32.59;1
30744;31.12;10.78;51.08;0.092;28.10;-13.08;1
30758;23.29;7.81;38.33;0.195;3.09;-22.67;1
30784;33.95;11.44;53.67;0.087;-30.21;-15.19;1
30787;33.05;11.48;54.13;0.155;31.36;-9.18;1
31244;33.52;11.31;54.20;0.133;-19.10;-27.20;1
31255;31.53;11.15;51.87;0.152;-14.14;27.81;1
31275;33.00;19.95;64.20;0.145;19.96;-25.95;1
31282;23.44;7.88;37.36;0.229;2.81;-22.72;1
31743;33.79;20.20;63.78;0.127;21.21;-26.02;1
31754;30.50;10.58;48.84;0.138;29.18;-7.91;1
31774;28.80;10.13;46.75;0.111;22.59;17.58;1
31779;30.07;10.13;48.17;0.109;-21.81;-20.44;1
31788;31.87;19.16;61.40;0.133;26.11;-17.87;1
32244;31.09;10.73;50.01;0.176;-3.05;-30.51;1
32255;29.77;10.45;48.60;0.088;-23.74;17.79;1
32289;20.93;7.58;34.99;0.087;-9.86;18.38;1
32744;31.90;11.37;53.25;0.102;19.41;25.11;1
32756;29.56;10.24;48.02;0.091;-15.35;25.12;1
32779;31.34;10.71;49.82;2.959;-30.96;-2.47;1
32783;30.51;10.62;48.41;0.155;25.45;-16.21;1
33246;30.54;10.97;51.11;0.160;-24.13;18.13;1
33268;27.84;10.26;46.10;0.174;14.32;23.43;1
33271;31.16;11.23;51.66;0.321;29.73;1.09;1
33296;21.38;7.82;36.36;0.112;-10.07;18.72;1
33300;32.41;11.50;54.04;0.295;-24.18;19.65;1
33741;22.27;7.68;36.01;2.858;-22.16;0.06;1
33755;32.60;11.44;54.08;0.247;3.19;-31.54;1
33784;30.39;10.68;48.47;0.096;-11.23;-28.09;1
34243;20.14;6.93;32.56;0.095;-19.79;3.26;1
34252;32.77;19.46;62.43;0.152;16.13;-28.19;1
34278;30.88;10.59;49.58;0.111;18.41;-24.57;1
34743;31.16;10.73;50.01;2.424;-30.24;3.93;1
34752;20.49;6.85;33.29;0.188;8.24;-18.39;1
34755;22.71;7.63;36.01;2.998;-22.58;-0.82;1
34778;19.61;11.46;39.56;0.181;2.65;-19.19;1
34781;31.07;10.88;50.09;0.144;30.56;-3.66;1
35244;30.43;10.96;49.37;0.132;29.62;-5.81;1
35255;30.98;10.83;50.33;0.098;-29.00;-10.45;1
35275;21.74;8.01;36.35;0.091;3.48;21.37;1
35290;28.34;10.45;47.43;0.204;-13.37;24.39;1
35744;20.52;7.42;32.76;0.100;-3.51;20.12;1
35755;27.89;10.18;45.28;0.122;-17.67;21.33;1
35778;35.69;21.38;69.58;0.270;-7.60;-33.95;1
36243;30.04;10.59;49.98;0.191;6.70;-28.78;1
36256;22.57;7.73;36.40;0.110;-20.61;-8.89;1
36274;31.46;10.99;50.22;0.605;-30.58;6.79;1
36282;32.26;11.09;51.62;0.203;12.56;-29.06;1
36745;30.28;10.57;49.04;0.100;-28.63;-9.39;1
36758;22.00;8.09;37.59;0.091;9.94;19.53;1
36799;20.85;7.67;34.01;0.187;-6.39;19.49;1
37244;32.28;11.35;53.24;0.098;-28.49;-14.85;1
37258;28.92;10.32;47.07;2.669;-28.29;-4.71;1
37285;29.39;10.31;46.87;0.127;-23.04;-17.92;1
37289;31.31;11.65;55.17;0.118;23.42;20.47;1
37746;28.66;9.87;46.82;0.174;5.54;-27.73;1
37760;29.88;10.60;49.04;0.140;-11.90;27.12;1
37764;38.01;22.59;75.00;0.090;-30.42;-22.54;1
37782;27.82;9.94;47.10;0.139;27.15;-4.82;1
37794;31.93;11.59;53.15;0.201;11.55;29.16;1
38243;22.70;7.62;35.85;0.099;-7.71;-21.23;1
38260;35.53;12.40;57.69;0.205;25.49;-23.74;1
38283;32.78;11.02;51.00;0.086;-15.47;-28.77;1
38744;23.20;8.10;37.36;0.172;-8.42;-21.27;1
38756;30.86;19.23;61.07;0.103;0.92;30.71;1
38760;36.07;21.59;73.54;0.294;-16.76;-30.75;1
38782;22.88;8.24;37.66;0.114;-3.59;22.45;1
38786;30.83;11.01;50.61;0.091;17.39;25.31;1
39244;31.48;10.74;50.22;0.086;-7.76;-30.38;1
39256;19.98;7.13;32.39;0.183;19.66;1.09;1
39259;20.02;7.19;33.14;0.122;19.89;0.03;1
39284;33.25;11.91;58.01;0.217;23.19;22.87;1
39288;30.96;10.67;49.19;0.252;24.71;-17.15;1
39745;30.85;10.84;50.25;0.111;21.34;-22.02;1
39755;29.95;10.74;50.00;0.166;12.22;26.93;1
39760;29.73;10.63;48.83;0.211;21.57;19.58;1
39780;36.51;22.15;73.88;0.113;28.19;-22.89;1
39784;22.44;7.73;35.90;0.083;4.01;-22.00;1
39788;20.78;12.33;40.02;0.101;3.92;-20.29;1
40242;29.71;10.04;46.52;0.105;-26.80;12.48;1
40254;31.96;10.86;50.48;0.095;16.94;-26.94;1
40257;31.12;10.93;50.09;0.147;30.43;4.81;1
40280;20.37;7.37;34.54;0.235;-3.76;19.53;1
40284;35.29;20.76;68.12;0.108;-27.76;-21.47;1
40743;29.17;10.65;47.85;0.093;28.72;4.39;1
40751;30.96;11.14;51.87;0.101;-29.25;9.67;1
40755;33.61;20.94;68.60;0.125;26.56;20.25;1
40775;32.42;12.06;54.59;0.120;-2.66;32.10;1
40778;28.99;10.77;48.84;0.089;-4.78;28.48;1
41252;28.38;10.17;46.87;2.962;-27.78;-2.42;1
41264;31.63;11.13;51.26;0.107;12.98;-28.66;1
41285;30.53;10.55;48.51;2.990;-30.22;-2.67;1
41289;33.26;11.62;53.85;0.152;25.95;-20.23;1
41292;32.63;11.70;53.24;0.269;29.74;10.62;1
41744;29.80;10.87;49.09;0.094;1.82;29.62;1
41760;32.33;11.31;52.33;0.103;-15.87;-27.98;1
41789;29.90;10.88;49.40;0.184;23.48;-17.75;1
41794;30.52;10.88;49.40;0.096;-10.44;-28.54;1
42252;34.01;11.79;53.85;0.124;-30.71;14.02;1
42264;28.27;10.02;46.04;0.094;1.71;28.10;1
42284;29.41;10.43;48.30;0.089;25.92;-13.67;1
42310;30.08;10.63;49.04;0.109;28.51;-9.08;1
42746;28.68;10.56;48.02;0.096;15.64;23.89;1
42766;31.95;11.43;53.60;0.117;-3.57;-31.55;1
42769;31.80;11.89;55.03;0.118;-29.03;12.45;1
42791;36.95;22.24;72.99;0.299;-9.59;-34.54;1
43244;30.11;10.47;49.01;0.098;-0.82;-29.96;1
43253;21.77;7.57;35.34;0.131;-20.31;-7.33;1
43300;28.76;10.37;47.07;0.118;-4.77;28.18;1
43303;33.62;11.69;55.01;0.103;-30.30;-14.20;1
43745;30.73;11.09;50.25;0.153;23.69;19.05;1
43753;31.49;11.20;51.66;0.092;30.19;-8.52;1
43774;35.18;21.27;68.88;0.172;33.41;-9.72;1
43777;32.03;10.98;51.62;1.533;-28.76;-12.19;1
44248;22.23;7.87;35.85;0.091;-9.88;19.82;1
44258;30.95;11.02;51.01;0.227;29.79;-5.20;1
44262;31.12;10.80;50.33;0.172;21.60;-21.83;1
44283;33.07;11.40;53.37;0.093;-8.61;-31.78;1
44287;31.41;11.31;51.00;0.094;14.80;27.56;1
44744;32.76;11.44;52.63;0.177;-11.39;-30.22;1
44760;31.88;11.50;51.66;0.087;-22.07;22.84;1
44779;29.38;10.53;48.47;0.097;26.60;-12.18;1
44788;21.99;8.07;36.77;0.091;20.22;8.41;1
45253;36.51;22.39;71.56;0.099;19.93;30.41;1
45267;36.99;21.82;72.11;0.087;-20.01;-30.95;1
45271;28.85;10.20;48.02;0.096;-14.62;24.72;1
45294;35.70;21.06;68.51;0.087;-19.85;-29.52;1
45298;35.61;21.63;68.71;0.110;31.82;-15.57;1
45744;31.03;10.90;49.82;0.147;21.65;-21.80;1
45758;33.25;11.47;53.76;0.149;-24.39;-22.09;1
45762;20.85;7.28;34.18;0.094;-7.56;19.33;1
45786;29.40;10.09;46.82;0.170;-12.47;-26.19;1
45790;30.76;11.18;51.24;0.093;10.82;28.67;1
46252;29.98;10.74;49.09;0.087;-15.97;25.23;1
46271;29.08;10.11;47.80;0.090;-27.80;8.12;1
46274;29.11;10.16;47.80;0.127;-27.24;9.60;1
46299;32.41;11.24;52.20;0.170;-29.68;11.92;1
46744;24.16;8.19;38.48;0.086;-21.89;-10.02;1
46780;30.68;10.93;50.25;0.087;3.70;30.34;1
46808;29.74;10.59;48.26;0.088;-3.41;29.44;1
47242;21.87;7.56;34.71;2.883;-21.53;-2.69;1
47252;30.11;10.65;49.93;0.099;-24.12;17.78;1
47257;31.93;11.07;52.43;0.129;15.76;-27.48;1
47281;34.69;11.81;56.44;0.078;-30.03;-17.16;1
47743;30.99;10.95;50.16;0.092;27.56;-13.93;1
47759;34.56;20.77;67.21;0.112;23.68;-24.93;1
47763;35.25;20.76;66.71;0.211;-10.46;-33.08;1
47789;21.13;12.44;42.05;0.095;-19.29;-8.40;1
48242;30.08;10.39;49.03;0.096;-28.94;7.71;1
48253;31.79;10.80;50.70;0.606;-30.46;-8.72;1
48272;21.54;7.71;35.13;0.280;20.72;-1.86;1
48277;32.46;11.67;55.01;0.102;-13.56;29.31;1
48745;31.81;11.09;52.04;0.085;0.15;-31.71;1
48755;33.75;11.61;56.82;0.116;-30.12;-14.73;1
48777;20.18;7.21;32.02;0.122;20.02;-1.00;1
48781;23.98;8.37;38.95;0.143;-18.65;-14.73;1
49243;29.89;10.65;48.75;0.085;27.12;-12.31;1
49261;31.54;11.21;51.87;0.090;-26.22;17.30;1
49281;28.24;10.48;47.10;0.087;2.00;28.07;1
49285;21.66;7.70;34.79;0.088;6.26;-20.66;1
49288;31.83;11.37;51.55;0.154;28.67;-13.02;1
49753;21.87;7.54;35.11;0.111;6.38;-20.79;1
49765;31.50;10.87;50.80;0.124;17.26;-26.09;1
49768;31.90;10.99;51.08;2.196;-29.84;-9.43;1
49795;30.62;11.00;49.48;0.087;6.94;29.72;1
50245;31.73;11.42;51.09;0.087;23.96;20.64;1
50263;32.23;11.48;51.48;0.093;27.67;-16.27;1
50289;31.69;11.08;51.22;0.085;-20.65;23.91;1
50751;33.55;11.75;54.08;0.092;-1.96;33.35;1
50763;28.95;10.28;47.17;0.115;11.09;26.55;1
50781;20.67;7.51;34.71;0.136;-2.40;20.35;1
50789;30.09;10.24;48.02;0.173;-26.51;-13.34;1
51243;22.98;8.15;37.12;0.091;-1.60;22.84;1
51255;35.21;20.86;67.68;0.136;-20.71;-28.16;1
51288;33.93;11.80;53.91;0.087;22.22;-25.48;1
51752;32.33;19.51;62.24;0.140;29.11;-13.51;1
51762;21.75;7.35;34.48;2.045;-21.04;-4.72;1
51786;32.22;11.32;52.24;0.178;31.76;0.02;1
52244;36.91;22.80;73.43;0.166;19.59;30.86;1
52264;20.73;7.46;35.13;0.091;20.53;-2.32;1
52268;30.94;11.20;51.04;0.240;20.90;21.72;1
52296;21.95;7.84;35.85;0.106;20.16;-8.37;1
52299;21.66;7.86;36.01;0.096;21.57;0.57;1
52302;30.16;10.74;50.16;1.975;-27.69;7.62;1
52743;32.28;11.20;53.37;1.752;-31.53;-6.06;1
52752;22.75;7.87;36.67;0.088;4.05;-22.30;1
52774;32.47;20.21;64.51;0.092;10.49;30.59;1
52777;22.17;7.85;36.22;0.192;21.39;-4.24;1
53245;29.20;10.47;47.51;0.085;18.49;-22.46;1
53253;33.69;11.65;54.23;0.098;-31.28;-12.08;1
53273;30.80;11.07;50.22;0.120;30.27;4.42;1
53744;29.20;10.34;47.42;0.087;19.88;-21.24;1
53756;28.21;10.14;46.10;0.090;25.34;-12.16;1
53775;30.22;10.91;50.21;0.280;24.02;16.55;1
53779;31.25;10.97;50.70;0.093;-28.64;12.19;1
54244;30.79;11.25;51.24;0.190;0.73;30.27;1
54260;29.10;10.08;46.65;0.160;13.45;-25.42;1
54286;33.77;11.59;53.14;0.106;-31.57;-11.47;1
54289;29.15;10.30;46.53;0.208;28.55;1.45;1
