time_ms;amp_mean;amp_std;amp_max;phase_std;i_mean;q_mean;label
60543;32.14;12.79;52.01;0.805;10.26;29.17;1
60565;32.27;13.05;50.99;0.924;-3.88;30.16;1
61031;20.70;8.04;31.38;0.368;12.02;-16.37;1
61045;31.44;12.75;47.51;0.801;15.68;26.75;1
61065;33.21;12.73;51.62;0.140;-20.53;-25.68;1
61070;31.52;12.56;50.00;0.634;23.49;20.57;1
61529;29.54;11.60;46.07;1.017;-18.78;21.70;1
61543;31.34;12.28;51.04;0.608;30.22;4.15;1
61566;34.26;21.32;63.25;0.213;-20.88;-26.14;1
61570;32.42;12.15;51.62;0.618;-29.95;-10.58;1
61574;35.26;13.76;54.41;0.460;31.55;-13.92;1
62045;35.16;15.34;59.06;0.955;-15.06;31.27;1
62067;30.64;13.27;55.61;0.299;9.64;-28.64;1
62106;30.81;13.47;53.76;0.495;28.28;-10.47;1
62109;31.65;13.78;55.90;0.366;28.68;-12.30;1
62545;20.47;9.34;32.98;0.655;18.80;7.26;1
62564;31.87;17.73;62.77;1.024;-30.21;9.02;1
62568;21.82;12.80;45.35;0.937;-5.50;20.78;1
62598;20.83;9.41;33.02;0.215;1.24;-20.63;1
63038;36.36;15.44;62.18;0.156;-28.96;-21.23;1
63049;33.40;14.52;57.31;0.503;1.39;-33.05;1
63076;33.58;14.41;57.57;2.365;-32.70;5.21;1
63534;33.80;13.93;60.67;2.823;-31.94;3.85;1
63552;31.70;12.74;54.56;0.255;-19.61;-23.54;1
63578;31.95;13.15;54.49;0.297;-19.65;-23.33;1
64044;33.36;15.07;65.76;0.865;8.02;28.26;1
64062;22.09;6.42;32.76;0.719;18.75;2.87;1
64086;32.40;14.70;60.21;1.051;2.55;27.14;1
64089;31.36;13.40;59.09;2.681;-27.46;4.90;1
64542;27.00;11.20;46.40;0.392;23.88;-11.86;1
64557;31.33;12.64;50.91;0.621;21.19;22.71;1
64579;36.48;14.89;59.82;0.966;-30.89;18.80;1
64583;36.60;14.83;60.21;0.188;-2.51;-36.19;1
65040;29.29;16.74;56.32;0.851;-28.90;-3.82;1
65057;30.66;16.38;57.31;1.020;-21.54;21.38;1
65088;18.83;9.84;34.23;0.717;2.31;18.53;1
65542;30.07;14.44;54.57;0.706;3.85;29.64;1
65555;30.64;14.26;53.24;0.594;27.78;12.36;1
65577;20.09;8.89;35.00;0.712;4.96;19.28;1
65581;33.19;14.61;56.85;0.076;-26.29;-20.12;1
66034;19.23;10.98;40.61;1.625;6.78;-6.89;1
66055;20.68;12.26;43.74;1.996;0.26;-13.34;1
66059;18.71;10.71;41.77;1.007;11.10;-6.02;1
66086;30.34;19.26;72.90;0.674;17.26;-19.86;1
66539;19.04;10.08;37.70;2.197;-8.81;9.40;1
66573;20.83;11.25;41.79;2.176;-9.71;-0.73;1
66597;19.00;10.84;40.11;1.637;-0.72;7.71;1
66606;18.40;11.16;40.31;1.687;-8.88;-0.86;1
67031;29.70;14.50;58.55;0.763;5.52;28.40;1
67083;19.98;8.47;35.85;1.033;-9.04;16.57;1
67108;30.32;18.37;72.11;0.360;-23.83;-16.58;1
67542;33.17;14.44;66.04;0.164;-20.42;-25.66;1
67557;30.92;14.10;59.44;0.187;-6.94;-29.80;1
67578;20.81;7.60;33.38;0.874;-1.95;20.33;1
67581;21.69;7.74;34.71;2.736;-21.38;1.28;1
67591;18.03;9.31;37.80;0.849;-6.64;16.27;1
68037;30.99;12.80;51.20;0.870;-3.61;30.52;1
68055;33.67;13.54;53.54;0.111;-21.13;-26.07;1
68077;33.97;14.61;56.80;0.962;-29.41;16.74;1
68534;28.79;17.48;59.54;0.217;0.85;-28.60;1
68545;28.73;17.62;59.01;1.013;-27.41;8.07;1
68569;27.65;16.48;57.31;0.958;-23.27;14.74;1
69027;30.90;15.49;64.76;0.795;7.26;28.27;1
69040;21.44;7.21;34.06;0.822;-0.77;20.61;1
69063;32.73;15.73;67.62;0.688;19.54;25.04;1
69078;30.76;14.23;58.01;0.487;29.98;-2.31;1
69537;27.80;14.60;54.82;0.822;5.05;26.81;1
69552;29.53;15.09;55.32;0.366;22.94;-17.90;1
69573;32.46;15.86;59.77;0.145;-9.43;-30.82;1
69578;28.99;14.44;52.63;0.243;9.84;-27.08;1
70033;34.06;15.19;57.08;0.231;4.15;-33.58;1
70050;34.55;15.24;59.03;0.517;34.26;1.07;1
70074;29.18;12.83;49.82;0.521;27.83;7.66;1
70540;30.98;15.26;62.07;0.408;1.48;-29.05;1
70565;28.86;13.53;56.01;0.911;-1.13;27.58;1
70587;28.75;13.98;56.29;0.515;27.25;-4.80;1
70591;31.80;15.91;62.65;0.812;10.42;28.06;1
71033;22.39;12.23;42.54;2.233;-14.16;0.46;1
71071;29.05;19.92;70.84;1.152;16.48;-10.69;1
71077;19.48;11.40;38.12;1.029;3.11;-13.54;1
71103;20.08;13.41;48.37;1.994;-3.99;11.61;1
71536;19.27;12.51;41.23;0.991;8.09;-12.68;1
71554;20.81;11.70;40.16;0.845;-16.47;-7.65;1
71594;19.40;12.39;43.27;0.475;9.59;-15.79;1
71598;19.81;10.49;35.34;1.139;-8.42;16.60;1
72047;22.00;13.96;50.09;1.055;5.84;16.74;1
72067;19.05;8.89;33.24;1.146;-5.18;15.04;1
72099;18.28;11.71;43.42;0.912;14.62;1.06;1
72539;21.67;10.29;37.70;1.177;6.66;-7.31;1
72560;21.07;9.00;35.06;1.140;6.65;-6.08;1
72564;28.43;15.33;59.82;1.039;2.80;-13.93;1
72609;68.52;26.84;116.66;1.661;-2.23;0.24;1
73030;27.91;18.63;65.30;2.169;-15.64;-10.06;1
73046;19.49;9.01;34.00;0.940;8.05;12.78;1
73049;20.27;8.92;34.53;0.849;0.35;-16.10;1
73076;31.26;15.35;61.07;1.040;-12.68;24.50;1
73080;28.61;13.59;55.46;1.040;-20.15;15.22;1
73535;30.58;12.95;51.62;0.531;25.14;-12.98;1
73570;30.89;12.38;50.64;2.752;-28.15;-2.69;1
73587;29.93;12.62;51.48;0.636;26.70;6.94;1
73666;20.91;10.04;37.70;1.941;0.61;-7.52;1
74027;31.66;15.17;61.01;0.202;-4.83;-30.88;1
74044;28.88;14.00;56.80;0.823;-6.38;27.41;1
74065;32.90;16.73;65.46;0.317;4.93;-31.59;1
74071;28.74;15.35;60.88;1.088;-16.97;21.90;1
74537;27.63;17.39;62.48;0.854;17.01;18.89;1
74557;27.79;15.90;59.51;0.394;-24.24;-11.38;1
74584;26.93;16.16;56.80;0.402;8.62;-25.17;1
75032;29.87;13.57;56.04;0.898;-13.17;22.55;1
