time_ms,amp_mean,amp_std,amp_max,phase_std,i_mean,q_mean,label
37213,30.44,13.85,55.33,0.498,28.81,-8.34,1
37216,30.23,13.49,54.56,0.595,27.94,10.38,1
37243,29.28,14.34,55.73,0.480,28.83,0.60,1
37247,32.79,16.40,62.97,0.638,26.96,17.72,1
37714,27.75,14.93,57.04,2.254,-27.19,3.00,1
37726,31.91,17.49,65.07,0.367,19.66,-24.40,1
37780,19.60,10.26,39.22,0.393,9.65,-16.23,1
38220,22.35,10.14,40.31,0.135,-12.34,-18.40,1
38232,30.84,14.25,55.90,0.481,28.40,-10.81,1
38236,31.04,14.09,56.85,0.949,-14.59,26.92,1
38267,32.15,14.48,57.98,1.018,-23.18,21.56,1
38271,33.24,14.53,59.03,0.227,-0.19,-32.72,1
38702,31.61,16.12,61.29,1.069,-27.01,15.44,1
38713,29.08,15.44,59.08,0.570,28.29,-0.74,1
38716,21.52,8.53,33.24,0.559,20.34,5.37,1
38738,18.30,9.77,38.05,0.416,17.83,-1.44,1
38742,28.61,15.64,60.14,0.707,17.98,21.60,1
38746,28.71,15.40,58.00,0.733,4.57,27.90,1
39216,29.39,15.81,59.62,0.976,-6.51,27.80,1
39229,33.64,16.46,66.07,0.375,19.44,-26.02,1
39232,22.40,8.66,34.71,2.890,-21.79,-1.96,1
39254,23.41,6.98,33.02,1.980,-22.38,4.85,1
39257,22.84,7.68,33.06,2.522,-22.02,3.56,1
39707,21.53,10.08,34.48,2.489,-20.56,-5.30,1
39740,27.80,16.64,59.36,0.400,19.11,-18.88,1
39761,28.69,18.28,63.01,0.876,-13.20,24.52,1
39765,21.63,11.20,36.88,0.434,20.28,-5.10,1
40212,31.63,13.19,58.60,0.246,-10.58,-28.91,1
40226,31.69,15.18,64.90,0.759,16.20,26.30,1
40230,32.01,15.12,65.80,0.424,26.00,-16.99,1
40252,22.14,9.66,38.60,0.853,-7.75,20.32,1
40256,30.04,17.20,66.57,0.636,25.75,14.50,1
40714,35.06,14.03,55.07,1.192,-31.94,13.08,1
40725,35.52,13.43,55.44,0.196,-0.99,-35.17,1
40747,33.86,12.87,52.00,0.165,-14.41,-30.21,1
40757,31.97,13.02,51.97,0.774,19.10,24.91,1
41207,35.73,13.56,57.49,0.305,15.29,-31.52,1
41221,35.10,22.17,65.07,0.974,-18.31,29.14,1
41226,30.41,11.90,45.65,0.841,10.74,27.62,1
41246,28.20,10.65,42.45,0.619,19.81,19.60,1
41250,29.75,18.02,53.15,0.159,-20.25,-21.30,1
41711,32.93,13.19,56.57,0.247,-4.41,-31.83,1
41722,31.16,13.55,56.92,0.530,29.89,1.15,1
41752,35.50,14.98,62.97,0.599,30.56,15.08,1
42215,29.66,14.60,54.82,0.895,7.60,25.88,1
42227,29.52,16.48,57.98,0.915,15.20,20.57,1
42265,20.71,9.45,35.23,2.318,-19.51,-2.77,1
42711,20.54,9.97,39.36,0.307,-6.37,-18.79,1
42728,19.97,11.16,39.12,0.354,-14.54,-12.51,1
42748,31.69,17.19,70.24,0.894,-16.26,26.56,1
42755,30.60,15.36,63.13,2.386,-30.25,1.69,1
43203,31.23,16.46,62.24,1.077,-20.20,23.18,1
43220,34.99,17.63,69.43,0.180,-26.21,-22.37,1
43242,21.48,8.42,34.01,0.544,20.96,2.27,1
43246,20.10,7.79,32.56,0.790,-2.53,19.62,1
43706,28.93,16.99,59.06,0.552,25.44,13.21,1
43734,29.95,16.10,58.83,0.363,22.07,-19.80,1
43756,30.22,15.29,58.31,0.584,28.20,9.40,1
43761,34.20,17.04,65.19,0.362,24.92,-22.48,1
44212,34.25,22.29,69.35,0.122,-20.93,-26.76,1
44227,33.09,13.91,57.01,0.189,-17.37,-27.50,1
44270,30.41,12.34,51.87,0.676,13.56,26.85,1
44274,33.24,21.43,66.73,0.132,-20.34,-25.91,1
44701,30.91,13.43,51.62,1.116,-29.26,9.04,1
44723,35.69,14.83,56.44,0.109,-22.28,-27.61,1
44743,32.12,12.45,51.04,0.465,31.80,-0.28,1
44746,32.36,12.58,51.01,0.454,32.05,-1.87,1
44750,31.48,13.03,50.25,0.672,27.09,15.38,1
45209,34.54,13.46,52.35,0.576,32.87,8.80,1
45235,29.95,17.55,69.63,1.087,-17.27,23.51,1
45255,29.51,16.65,63.16,0.258,11.24,-26.79,1
45259,26.33,14.94,56.09,0.628,24.92,6.51,1
45712,33.03,13.44,53.85,0.559,31.96,6.01,1
45725,36.47,14.23,58.52,1.780,-35.27,-7.50,1
45748,30.92,12.37,49.37,1.006,-29.13,9.38,1
45753,35.72,13.74,56.22,0.148,-27.16,-22.59,1
46209,32.42,12.22,51.09,0.162,-27.74,-16.04,1
46220,34.97,13.51,54.45,0.586,28.27,19.88,1
46224,31.44,12.15,49.82,0.589,23.22,20.59,1
46261,31.39,19.70,57.01,0.428,27.77,-13.60,1
46264,32.81,12.13,50.01,2.931,-32.40,0.69,1
46725,21.87,8.58,34.37,2.840,-21.54,1.53,1
46739,33.76,21.46,66.07,0.625,23.27,23.55,1
