time_ms;amp_mean;amp_std;amp_max;phase_std;i_mean;q_mean;label
29759;21.75;6.13;33.06;0.274;2.01;-21.16;0
29763;32.06;14.18;63.51;0.417;26.02;-17.17;0
29767;31.72;13.72;60.75;0.930;-22.83;21.35;0
30184;28.77;11.19;43.32;0.524;28.09;3.68;0
30196;32.79;12.87;51.00;0.919;-9.64;30.71;0
30199;30.17;11.14;43.57;2.863;-29.72;-3.02;0
30227;29.83;11.14;43.10;0.664;6.65;28.66;0
30685;31.76;12.06;49.24;1.268;-29.88;9.49;0
30698;30.59;11.43;47.38;0.428;27.70;-11.12;0
30720;31.89;12.21;51.87;0.818;-7.51;30.50;0
30723;31.53;11.99;50.01;0.476;30.84;-1.96;0
31194;30.90;11.58;45.88;0.236;4.72;-30.17;0
31209;33.39;12.63;49.82;0.610;25.08;21.16;0
31229;34.55;13.60;53.24;0.451;33.92;-3.03;0
31233;30.22;11.50;45.54;0.713;8.94;28.38;0
31687;33.65;12.64;50.01;0.771;-0.53;33.23;0
31703;34.66;13.03;50.99;0.637;22.61;25.66;0
31723;31.42;11.82;47.38;0.731;6.37;30.39;0
31727;29.16;10.66;44.15;0.225;1.26;-28.73;0
31731;33.02;12.50;50.09;0.377;32.17;-5.73;0
32197;30.85;11.71;48.41;0.603;23.83;18.73;0
32213;35.36;13.29;55.32;0.407;31.83;-14.09;0
32217;31.61;11.84;49.19;0.832;-8.82;29.78;0
32241;32.81;12.63;52.39;0.533;-14.26;-29.06;0
32522;34.70;13.11;53.76;0.708;11.84;32.03;0
32542;32.91;12.19;50.45;0.193;-29.34;-13.67;0
32569;33.07;12.50;52.15;0.926;-23.34;22.77;0
32581;33.81;21.02;64.40;0.364;26.75;-19.91;0
32585;34.16;21.23;65.19;0.862;-24.88;22.66;0
32601;35.10;21.70;65.80;0.162;-26.85;-21.84;0
32605;35.30;21.49;66.73;0.190;-32.28;-12.86;0
32621;31.54;12.62;49.65;0.409;22.51;-21.22;0
32626;35.27;13.19;54.56;0.294;16.94;-30.37;0
32650;31.38;11.82;50.16;0.928;-22.20;21.33;0
32654;34.08;12.88;52.50;0.578;28.88;16.96;0
32657;31.65;12.22;48.51;0.224;1.16;-31.27;0
32870;21.09;8.11;33.62;2.773;-20.54;-3.10;0
32874;35.62;21.97;68.62;0.161;-28.21;-20.97;0
33260;31.67;13.54;54.42;0.416;26.84;-15.94;0
33275;32.31;13.84;55.07;0.182;-30.24;-10.37;0
33297;31.41;13.30;54.08;0.371;21.77;-21.96;0
33301;30.67;13.01;52.61;0.777;10.75;28.10;0
33304;36.41;14.77;61.35;2.652;-35.45;-5.77;0
33643;33.41;13.13;49.73;0.554;32.57;5.66;0
33659;29.78;11.18;45.19;0.552;26.90;11.67;0
33686;29.87;11.90;46.17;1.423;-28.21;8.70;0
34100;29.58;12.37;51.92;0.984;-25.91;13.44;0
34111;23.66;15.80;52.20;0.574;22.87;4.12;0
34116;33.79;13.33;56.09;0.184;-13.07;-30.63;0
34136;29.03;11.93;49.37;0.465;27.50;-7.93;0
34143;29.97;12.33;52.01;0.678;21.48;20.26;0
34625;32.92;12.27;51.79;0.168;-12.08;-30.20;0
34645;32.19;12.50;50.80;0.215;-0.56;-31.84;0
34648;31.95;11.80;50.01;0.206;-3.64;-31.32;0
34674;31.86;11.86;49.04;0.195;-4.95;-31.08;0
34679;32.64;12.18;51.22;0.136;-27.64;-16.85;0
35104;32.47;12.95;51.40;0.128;-23.73;-21.72;0
35120;32.36;12.61;51.62;0.963;-16.11;27.36;0
35140;32.19;12.05;50.99;0.429;29.53;-11.20;0
35144;31.71;12.80;50.80;1.086;-20.98;23.17;0
35151;31.09;11.86;49.04;0.679;14.36;26.97;0
35601;33.25;12.64;53.71;0.254;9.11;-31.53;0
35616;34.36;13.07;55.23;0.556;-23.10;-24.92;0
35637;34.96;13.43;56.08;1.165;-33.31;8.78;0
35642;20.31;8.03;34.13;0.401;15.35;-12.67;0
36097;32.85;12.45;50.64;0.764;0.42;32.50;0
36108;33.58;20.31;61.40;0.181;-22.82;-23.89;0
36134;31.28;11.76;47.01;0.187;-6.98;-30.12;0
36137;33.91;13.60;53.46;0.485;31.82;-10.58;0
36607;33.74;12.69;52.47;0.417;31.41;-10.92;0
36620;31.42;12.66;51.01;1.730;-30.58;5.21;0
36642;30.03;12.07;52.15;0.795;7.18;28.75;0
36646;29.88;11.45;49.24;0.701;10.55;27.43;0
36649;33.59;13.49;54.45;0.455;31.74;-9.79;0
37105;32.10;20.35;56.32;0.788;9.34;30.24;0
37117;32.80;12.53;48.27;0.211;2.00;-32.50;0
37148;31.62;12.95;51.11;0.400;23.72;-20.36;0
37599;32.78;13.04;51.04;0.264;3.50;-32.08;0
37613;33.85;12.56;50.01;2.961;-33.33;-0.26;0
37634;21.17;7.91;32.14;0.715;5.77;20.08;0
38122;33.67;13.36;56.14;2.971;-33.17;-2.42;0
38130;29.27;11.71;50.45;0.499;28.55;4.89;0
38134;30.14;12.62;50.91;0.115;-23.41;-18.66;0
38172;20.94;11.17;38.01;2.030;-9.20;4.63;0
38601;31.90;12.61;48.66;0.212;-12.99;-28.42;0
38613;34.22;14.15;56.04;0.390;23.58;-24.14;0
38637;28.92;11.11;43.57;0.372;20.75;-19.57;0
38644;30.55;12.27;47.76;0.965;-5.81;29.37;0
39100;33.74;12.94;52.20;1.080;-29.41;15.48;0
39115;33.39;13.13;53.31;0.725;18.59;27.13;0
39134;31.52;11.86;50.64;0.229;-3.42;-30.75;0
39139;30.69;11.79;49.50;0.885;-16.55;25.25;0
39149;35.45;14.12;56.22;0.172;-31.33;-15.63;0
39613;30.30;15.08;65.39;0.496;26.78;-11.57;0
39627;21.00;5.73;32.25;0.955;-8.31;18.64;0
39630;32.80;13.24;53.76;1.691;-31.25;7.87;0
39666;26.56;17.26;58.87;0.700;25.06;5.28;0
39670;20.41;10.32;34.93;0.755;17.49;-9.15;0
39674;31.09;20.31;69.46;0.962;-26.16;16.42;0
40116;29.82;16.88;61.47;0.356;14.60;-25.22;0
40130;28.32;15.80;57.49;0.316;9.25;-26.31;0
40154;31.81;16.24;59.91;0.277;10.32;-29.66;0
40158;30.65;16.23;57.98;0.440;26.50;-14.38;0
40613;31.35;11.82;46.53;0.769;-0.91;31.00;0
40628;32.47;12.98;53.81;0.885;-18.26;26.33;0
40651;32.18;14.92;59.67;0.207;-25.64;-18.68;0
41125;27.38;11.90;47.41;0.610;24.06;12.71;0
41140;34.72;13.73;59.01;3.039;-34.58;0.33;0
41161;31.28;12.47;52.89;0.489;29.65;-9.57;0
41165;35.28;14.74;60.75;0.114;-30.84;-16.86;0
41603;31.37;13.32;55.15;0.191;2.89;-31.09;0
41612;29.51;12.82;52.89;0.526;27.82;9.18;0
41615;33.14;14.66;59.84;0.552;32.22;6.59;0
41635;31.29;13.22;53.08;2.979;-31.06;-1.41;0
41639;29.73;12.69;50.80;0.517;29.37;-1.24;0
