Signal,STD,RMS,Energy,PeakCount,PeakHeight,PeakProminence,ActivityRatio,SpectralEntropy,SpectralCentroid,Bandwidth,FFTEnergy
phase_std,0.028630097519974276,0.04683803096132321,0.5616130929494711,8,0.06270135053094283,0.020479649149407815,51.5625,5.922394667426398,1.1541781936312445,1.3472221903195882,26.856827492170996
i_mean,0.054386662786569576,0.06708587310053761,1.1521316786333275,2,0.15941361504904356,0.14480341528155305,24.609375,3.9723202542830682,0.30509765294700486,0.49807164963920453,96.92474645400512
q_mean,0.1534154311946848,0.17197659199679607,7.571442737877111,1,0.5835391934802379,0.5690037961320591,12.5,4.14673713934717,0.32737503540237683,0.5491192225686374,771.2370458376369
amp_mean,0.03575644835468638,0.05654237165374489,0.8184421868109348,6,0.08341586308207509,0.05118887578302269,44.921875,4.154380777605268,0.36166753305645705,0.564112322013529,41.8946463469595
amp_std,0.058867154557956596,0.08479415328696993,1.8406523985034635,4,0.1369126252363671,0.07566376920782766,41.40625,5.138590375912946,0.7295537299923573,1.0917183100816028,113.55073049017372
amp_max,0.13018925901377626,0.20238698212625053,10.48588557674784,5,0.3110809454894953,0.18300967448605096,52.734375,4.352428633970128,0.37449797577072197,0.5732923644798447,555.3926203542737
phase_std,0.02690648653903531,0.046570829234084545,0.5552235867008675,10,0.06270578257107126,0.02155555189449956,53.125,4.9839537396784355,0.6422785572121957,0.9825913837270535,23.722440372058184
i_mean,0.053070199781135634,0.0678144213396305,1.177291709857007,2,0.15941361504904356,0.1533177588387598,24.609375,3.8108756221622193,0.2576816789467973,0.31663219254126745,92.28930588051506
q_mean,0.1505801380045504,0.17312067576841209,7.672516704898987,1,0.5835391934802379,0.5765129083375016,12.5,4.0225282144465035,0.2827354412826543,0.39796176279411466,742.9939851356482
amp_mean,0.03864480409586092,0.0597101090278611,0.9127160627504793,4,0.08524763337513425,0.038914353073955146,40.625,4.977478073325423,0.6442383818431041,1.0014493515744993,48.9360180233031
amp_std,0.06471372174741626,0.08198498849923992,1.7207138148404484,3,0.15751054020791763,0.1264719039346503,34.765625,3.7992508213044074,0.25921385155726095,0.33568441952174116,137.2279853663636
amp_max,0.12049559558860566,0.21726139759474183,12.083843810514047,6,0.3146522788499208,0.16931752860924043,48.4375,4.530951622932047,0.4972463163049592,0.794867184968243,475.7637845012771
phase_std,0.024017681208243095,0.04548579130365508,0.529653045893034,10,0.05895157026839185,0.0232028049082243,48.046875,5.119717222570696,0.7034547436884163,1.0473724436638912,18.90203364913881
i_mean,0.007357287012557821,0.018210205230312745,0.08489256307970808,9,0.023913421112921055,0.0085610901429365,47.265625,4.456158171691297,0.39801173458100547,0.4562373464568781,1.7737210501288005
q_mean,0.014884814960911277,0.02973975444487844,0.22641996657706673,6,0.046576694239855936,0.02790818967535703,43.359375,5.610124793114357,0.8732246293277813,1.1415351346115445,7.25976789196003
amp_mean,0.05776680167577673,0.08782287220609146,1.9744913619270328,4,0.1389581068184697,0.08832565059681866,40.234375,3.9070689722082674,0.27960165005262233,0.44839915960768423,109.346919277963
amp_std,0.012653856971260964,0.013439407093122312,0.04623812173175458,4,0.00665853542848695,0.0034671254520529503,25.0,6.559411034445127,1.4789887268630106,1.3497296355967632,5.244991202390157
amp_max,0.10623066061078316,0.22962879235470832,13.498721863240126,6,0.320276489024716,0.11996961065643186,51.953125,4.6904093275854715,0.5199870202989705,0.8110950018777464,369.78441493803655
phase_std,0.09607684148200335,0.133998686123262,4.596645857986685,2,0.2630418390088025,0.2092296142863261,29.296875,4.074350544437538,0.3446674331463024,0.6484849633920536,302.47332759822837
i_mean,0.009114951605857057,0.020648559440510975,0.10914892978388861,6,0.025114055013731384,0.0107920447140022,36.328125,6.247756272387054,1.2657557599781464,1.3112319244050024,2.722034968509776
q_mean,0.23211135070586555,0.2617264536450707,17.536188553632087,0,0.0,0.0,19.140625,5.796812130749147,1.0406445296361486,1.297899226805807,1765.2916228969352
amp_mean,0.09775286634500681,0.14923159139654202,5.7011373749105845,5,0.1902024601722824,0.11939463988562486,39.453125,4.057381771669279,0.3064117427000065,0.4462674286616701,313.11861993707043
amp_std,0.06060461949922923,0.06946476383555354,1.2352904741706823,2,0.14823756731027854,0.14358704134345995,25.390625,4.231652521181371,0.3907297988111008,0.7273076922087622,120.35408827206422
amp_max,0.14166697204636455,0.3045151438658229,23.73874504796744,7,0.38661648515771513,0.16389951405487824,53.125,4.860589486975234,0.5691734734401992,0.9063499200220764,657.6350656398273
phase_std,0.09762232693493694,0.14324184109927504,5.252665610626551,3,0.23437905383031332,0.19932668610665505,37.890625,3.853484537747609,0.24683119436908002,0.2932582846137293,312.282930010609
i_mean,0.09319147340317865,0.11299235367126596,3.2684216289721477,2,0.21380466020448494,0.1356848566328243,26.5625,5.069623428236289,0.7377911733628123,1.1284318992274944,284.5745248033457
q_mean,0.3133161367518341,0.4479774716326855,51.37505666314586,4,0.7989536698198144,0.4515187940894094,46.875,4.9752340850017625,0.6797181462095795,1.052062037990267,3216.7060958715742
amp_mean,0.09775727835883752,0.1388651964762886,4.936586954853947,3,0.23027007584595585,0.20720724972996116,34.765625,4.793160206267168,0.5927895808378422,0.969901284783244,313.144892581715
amp_std,0.10437698232766388,0.14674084619962466,5.5124162415057665,3,0.2521804168129613,0.23407658541226017,37.109375,5.755062232178972,0.97178086185373,1.2262644377377638,356.974623007165
amp_max,0.15691146123312183,0.28497422831437347,20.7898395656634,6,0.3818654990349481,0.15207876919405103,45.703125,4.777331736991011,0.5750317573206941,0.9648677339969786,806.7827610989759
phase_std,0.07568461095217709,0.1018002638079671,2.6530031901111544,3,0.23605701712576277,0.1358924059884622,23.046875,4.101689251179549,0.31471626184967494,0.4501981647900186,187.70034042727147
i_mean,0.09596756223567598,0.12067099151772247,3.7277409776307833,3,0.21172338809967894,0.13520942273469497,29.6875,4.472644465362712,0.45782201612174267,0.805990879200247,301.7852062223965
q_mean,0.2830465244247385,0.3753891379287217,36.07475324796642,4,0.6309486442573898,0.4190733433504546,37.890625,5.651668967041828,0.9391296315589156,1.2293283619791076,2625.1066913462773
amp_mean,0.06528324224101796,0.09354111835199445,2.2399848505707096,5,0.1510696260885554,0.05421858936362156,41.796875,5.480600273915948,0.9095034136516553,1.2348979208951745,139.6496651076079
amp_std,0.1412774845504161,0.20533141483661121,10.79321341921396,4,0.2997072175938758,0.27346635763837074,45.703125,4.124706009831134,0.3149657099066206,0.4814276225412243,654.0271417304014
amp_max,0.09411971166875167,0.1275850698442465,4.167155212073283,4,0.21838660226862822,0.07355558908655,45.703125,5.332683674865663,0.8762564209334961,1.2260231104467787,290.2685887110323
phase_std,0.06911750377338585,0.0909977156051912,2.119829566812994,7,0.12748372796792615,0.06075667562692393,35.15625,4.439760041916832,0.41715443991607165,0.7075241124143167,156.54006640376684
i_mean,0.17463720253644455,0.2088131503356208,11.162350528790165,3,0.39809359976954145,0.10140832892388009,21.09375,4.457556696463849,0.4811855516337899,0.8683348565069798,999.3607862780303
q_mean,0.08059484326118342,0.09382005002933573,2.2533636576018075,1,0.2906012071495134,0.2906012071495134,15.234375,6.123379135312776,1.2562840202186212,1.3656801029864976,212.81784605271002
amp_mean,0.07386851311324986,0.09932651988198972,2.525633933278028,3,0.20508157275077565,0.09491016918323547,36.328125,4.92368411176408,0.7332179038258938,1.1382383781299947,178.7982264252449
amp_std,0.13856933525411302,0.15953192548897527,6.51531142405631,2,0.3315964879766838,0.13446833529456093,25.0,5.412182578909625,0.8924601434836431,1.234007995691134,629.1741650091122
amp_max,0.11306381943517782,0.13177586227887952,4.445408737111609,2,0.2736823303988145,0.2736823303988145,28.125,3.6798214947608994,0.23892978474511614,0.32951243129955415,418.88734459071867
phase_std,0.022580715109550724,0.038195141016846276,0.3734704121079738,8,0.05480716123536117,0.016340077865611438,35.546875,4.850238335689243,0.6085143630760361,0.9842641711997514,16.70795258493725
i_mean,0.1789657423979839,0.21822914913371358,12.191734152095897,2,0.49335997770927864,0.32149715665520706,22.65625,3.8737076091543736,0.26798654931924204,0.4191998869207829,1049.5176075774207
q_mean,0.012151120301176151,0.019985858602621996,0.10225524328550392,5,0.03252926030239164,0.02061951484594808,44.140625,4.861153894063545,0.5714025457505932,0.8934399431214766,4.838153906264027
