Sample,Method,Dataset,Window,Signal,Median,STD,RMS,IQR,Skewness,Kurtosis,Energy,PeakCount,PeakHeight,PeakProminence,ActivityRatio,MotionDuration,FFTEnergy,SpectralCentroid,Bandwidth,SpectralEntropy
moving_average_motion_002,moving_average,motion,2,i_mean,0.0,0.01817392200324367,0.022593451795760975,0.031700879491364825,0.7605455541599698,-1.2251280622014762,0.025523203202368738,1,0.0459431470209633,0.019131491038396196,36.0,18,0.41275976147805293,0.9510759570195729,1.1752122515468921,3.1190156073723823
moving_average_motion_002,moving_average,motion,2,q_mean,0.03226506994736435,0.01853396608802608,0.03808620040319532,0.029062957304988774,-0.2039457350318952,-1.0338535292981625,0.07252793305761776,0,0.0,0.0,48.0,24,0.4293802846286508,0.5052313051136941,0.7146576401900367,2.1323774694000166
moving_average_motion_003,moving_average,motion,3,amp_mean,0.08501648073939165,0.03294605179090673,0.09668153679097462,0.07052946629680698,0.052194705056549974,-1.7810843963211451,0.46736597781322886,1,0.1328249736466632,0.05732472862842211,50.0,25,1.3567928106429068,0.5968618131993977,0.7808511257459549,2.2062993105577493
moving_average_motion_003,moving_average,motion,3,amp_std,0.01551636709980455,0.012894194178819589,0.01918701364935008,0.027798949499100025,0.0038013393074899614,-1.8060011527200732,0.018407074639017314,1,0.0303478183603731,0.0260240566710722,52.0,26,0.20782460174261644,0.48568456089008216,0.6045664197095517,1.9671970753688488
moving_average_motion_003,moving_average,motion,3,amp_max,0.00858031850006845,0.01160558209974972,0.01614410942511075,0.02166604625364175,0.37134963849257835,-1.4707244858509165,0.013031613456497483,1,0.0303504643306458,0.0303504643306458,48.0,24,0.16836014231860225,0.5955658457293825,0.7267793056400117,2.4994581551965944
moving_average_motion_003,moving_average,motion,3,phase_std,0.39788504218493803,0.26175629827394054,0.4306858074166486,0.5651815866790105,-0.11783706870791726,-1.7786947463550344,9.274513235506525,1,0.6394503437455185,0.6239151811349595,52.0,26,85.64537243532783,0.38707651648713803,0.42278039687404473,1.6424722142654349
moving_average_motion_003,moving_average,motion,3,i_mean,0.0326338146097093,0.013657194844536572,0.03378127871455333,0.013246914628729702,-1.1827606414922585,0.49112742214431515,0.05705873957951669,2,0.045664983994591596,0.0185830621566182,54.0,27,0.23307099573106516,1.0955845971010636,1.198598990242712,3.5310669575544065
moving_average_motion_003,moving_average,motion,3,q_mean,0.04872760143416095,0.018962158280225697,0.04728535690446991,0.021143699275743,-1.0883753130326148,0.06448067190929674,0.11179524887915503,1,0.0614154563108332,0.0235553926564787,56.00000000000001,28,0.4492845549748372,1.1080965454592795,1.2332314171076229,3.5072364835772296
moving_average_motion_004,moving_average,motion,4,amp_mean,0.069589806885859,0.1573453552618074,0.23041877870543587,0.26937727398902667,0.9476598506827921,-0.9296861416023967,2.6546406790052313,0,0.0,0.0,32.0,16,30.93031836331098,1.1793317924170665,1.2778534192018398,3.603430897490994
moving_average_motion_004,moving_average,motion,4,amp_std,0.0,0.005356850196313942,0.005612056338465933,0.0,3.3660893749858034,10.309573498458194,0.0015747588173057826,0,0.0,0.0,12.0,6,0.03578147208240542,1.628840197765978,1.3122731442933435,4.2622770690092295
moving_average_motion_004,moving_average,motion,4,amp_max,0.0112008298213115,0.023201910359264458,0.028224167048358294,0.016843319294237526,2.1173525819990764,3.844206773327989,0.03983018027868171,0,0.0,0.0,26.0,13,0.6721417603147877,1.3762615818808364,1.2992116802733609,3.9764300320252923
moving_average_motion_004,moving_average,motion,4,phase_std,0.016886123530911852,0.20906492886680542,0.24109208428790224,0.07821602227304497,1.707270948806726,1.2580478400975696,2.906269655314248,1,0.6394503437455185,0.0009297455233341356,22.0,11,54.58880718307777,1.2719336448577787,1.2835925540603208,3.82276433401542
moving_average_motion_004,moving_average,motion,4,i_mean,0.02799826792938065,0.007481490863983127,0.030344422386100738,0.008393987937947295,0.6912257815365976,-0.39056484629550337,0.046039198497304576,1,0.0453868209682199,0.0194209201498571,40.0,20,0.06996514967576299,0.550203705052682,0.6789981618046912,2.340588142002531
moving_average_motion_004,moving_average,motion,4,q_mean,0.06032111061013365,0.01775125783031028,0.0659298597375533,0.025773672077099005,0.34452249429325,-0.975921109423608,0.2173373202506726,1,0.094780047349804,0.0006612475573852944,38.0,19,0.39375290856962925,1.0912935996972086,1.2499172018609164,3.368690462551727
moving_average_motion_005,moving_average,motion,5,amp_mean,0.31397465063007074,0.17952883384154142,0.322393137819019,0.3794770579063561,-0.14364533353947326,-1.7403906297217757,5.1968667656396486,1,0.4819514779594442,0.4184299972250122,54.0,27,40.287983592779604,0.4877793662209828,0.684096962518555,2.0103366720349376
moving_average_motion_005,moving_average,motion,5,amp_std,0.0,4.145234913022619e-05,4.312734503638936e-05,0.0,3.898221044311026,15.089843179748009,9.299839449438891e-08,0,0.0,0.0,10.0,5,2.1371641606906055e-06,1.7976132868332213,1.3601828726343719,4.374777882207002
moving_average_motion_005,moving_average,motion,5,amp_max,0.09755087087907299,0.08755101441851634,0.13284362628701152,0.13817952979925013,0.5340174264380303,-1.0390390632263646,0.8823714522541588,1,0.2557113457260491,0.00209779283376349,48.0,24,9.57340497047316,1.2855239339408027,1.3078557112097229,3.8063372577935395
moving_average_motion_005,moving_average,motion,5,phase_std,0.02918544053703715,0.0351267009755273,0.05104154735684076,0.07203027812370578,0.1513781466264732,-1.7586429140036859,0.1302619778290309,1,0.0855098108184065,0.0031511891107126044,48.0,24,1.541780219640422,1.1308349771078885,1.275807288084733,3.375250013712328
moving_average_motion_005,moving_average,motion,5,i_mean,0.02639415718097495,0.010371391357821459,0.03209764229584242,0.020791132730511475,0.755133107804091,-1.0987999834466764,0.051512932047592636,2,0.04760790343872765,0.0016864968459722011,32.0,16,0.13441792278310635,1.0402035456801766,1.2103027272914184,3.2948505897702125
moving_average_motion_005,moving_average,motion,5,q_mean,0.0679570739559524,0.02361077378929537,0.06932341784206346,0.031819971634898456,-0.7711572096109093,-0.16319618543938308,0.2402868130652661,1,0.094780047349804,0.0524400091507373,54.0,27,0.6967216251710413,0.9240821777656893,1.1465619887728866,3.073086449457708
