Sample,Method,Dataset,Window,Signal,Median,STD,RMS,IQR,Skewness,Kurtosis,Energy,PeakCount,PeakHeight,PeakProminence,ActivityRatio,MotionDuration,FFTEnergy,SpectralCentroid,Bandwidth,SpectralEntropy
median_motion_014,median,motion,14,amp_mean,0.0370528528619644,0.06921058975529708,0.09358460092341078,0.07369685620378258,1.2187345604439408,0.08597339544416949,2.242067847678479,3,0.19020256538348265,0.13555740052000378,28.90625,74,156.95355605152506,1.0334454739570755,1.2653483453451468,5.770062797305453
median_motion_014,median,motion,14,amp_std,0.04797833971783575,0.12213448504363826,0.17410559148668964,0.2337526019426016,0.470090953561918,-1.454626203212085,7.760065788654093,4,0.28554929118500627,0.24024021099810638,42.96875,110,488.79476142441354,0.29655181110715234,0.3519012997241416,4.070681544653962
median_motion_014,median,motion,14,amp_max,0.04293486229789415,0.0696894267130016,0.10174387046251206,0.12821307093202133,0.6945758956366217,-0.9562418191256632,2.650064685233263,4,0.17647241190166893,0.1262132565502469,38.671875,99,159.13595712955026,0.9203019562897168,1.214002907413992,5.540466724258455
median_motion_014,median,motion,14,phase_std,0.05015780989348345,0.11410715277173447,0.1425156299362859,0.0911459005022954,2.1462557194234915,3.674315929892183,5.199540422690915,4,0.19353781264225348,0.14306708208546173,32.8125,84,426.65322484101364,0.4275010841066201,0.740349797271878,4.425448218656309
median_motion_014,median,motion,14,i_mean,0.01685174474068945,0.015648657985000026,0.02544912790641796,0.017954524405707824,0.7505116625112637,-0.24924388570069977,0.16580047646648866,8,0.03824258856077513,0.014861018736370125,40.234375,103,8.024218535852716,0.5113881304395818,0.8502476878988371,4.713970010952035
median_motion_014,median,motion,14,q_mean,0.023631768220565348,0.06330784618479358,0.07587368971746666,0.020582665369901148,2.4734314627069014,4.679510203231279,1.4737450985836562,2,0.23955912327350398,0.1048571050093777,14.0625,36,131.33005570651852,0.45741664029419,0.7848104724344431,4.525119239672631
median_motion_015,median,motion,15,amp_mean,0.048694539036277296,0.08299925734610063,0.1136389856949247,0.06902836357849451,1.2634027313028255,0.25835001292616955,3.3059376818614528,3,0.20261989070431516,0.19135076528177578,28.515625,73,225.7342327558643,0.47445878098084365,0.8155574743817606,4.38569885941283
median_motion_015,median,motion,15,amp_std,0.02227733398956145,0.11689005569137868,0.15051156114980724,0.20284351467681305,0.938973573518418,-0.7294122508490295,5.799354890176554,3,0.28262302843780224,0.21925570727750845,33.59375,86,447.7184471751775,0.33943930070590733,0.5312501261410618,4.07162158460339
median_motion_015,median,motion,15,amp_max,0.0430431014656232,0.11003333176777037,0.145001171070745,0.13278861791252133,1.4105565124523363,0.9739651263680638,5.38248694064319,3,0.3335302382905958,0.20083953148541114,33.984375,87,396.7330994696977,0.30570103665704984,0.47782155889287964,3.966247831603749
median_motion_015,median,motion,15,phase_std,0.05732428868789255,0.04898580730894476,0.07520509714112175,0.09361539984264866,0.39519201687415945,-0.9906054942371973,1.4478864988174234,5,0.12858118087323875,0.0738168837426118,50.390625,129,78.63027927024734,0.442490111844393,0.7591711163249452,4.185145763817583
