Signal,STD,RMS,Energy,PeakCount,PeakHeight,PeakProminence,ActivityRatio,SpectralEntropy,SpectralCentroid,Bandwidth,FFTEnergy
amp_max,0.07950676274977485,0.11238753445850193,3.2335252228252056,2,0.2460966212444327,0.2265233504012199,28.515625,4.544432495676029,0.4957343343163791,0.8365051745716344,207.13663407326507
phase_std,0.03759682465321177,0.071790842363029,1.3194048120814794,7,0.09503472466690124,0.04067761080344696,52.34375,4.132049591253784,0.3426688547981848,0.4819749295612419,46.31826197076234
i_mean,0.018494759812483004,0.03259619684984602,0.27200308456292144,6,0.05119719895192439,0.0283628895301196,41.40625,4.296083696389086,0.41238776280555645,0.6705273955768823,11.208486031819486
q_mean,0.013202462257072136,0.028118397572131876,0.20240493619826477,7,0.03944488609840063,0.019910719277732643,48.4375,4.124760049742013,0.3728295850821843,0.579959732721747,5.711624334154591
amp_mean,0.18322412577231484,0.25929383403833023,17.211722846796064,4,0.40560066447808163,0.27611220359426697,42.578125,4.754803294404605,0.5958382604117661,0.9645037073637645,1100.0511196170162
amp_std,0.11971042259736508,0.140308721573689,5.039753561508604,2,0.3327371033888773,0.18437064293016414,21.875,5.28210942529851,0.8295370148497564,1.160828201083615,469.57492631839636
amp_max,0.10116472964747472,0.12654126953062345,4.099249380972004,2,0.2460966212444327,0.13839154261904446,31.640625,4.922389929815204,0.6781069770974333,1.0566669014743497,335.3544401247289
phase_std,0.07293971673049082,0.11757762704713293,3.539071585800879,5,0.1469246395614799,0.06471426563027756,36.71875,4.157014720980136,0.35539444022314004,0.6264746551595026,174.33226950597648
i_mean,0.014281809605094772,0.02420205823111212,0.14994934339126836,7,0.03523507127990043,0.020191590562092528,40.625,4.848338722569515,0.6116582403792539,0.9425624737503173,6.683654119745816
q_mean,0.014177752443963304,0.02184726213757885,0.1221895329044701,5,0.03080522535962472,0.0245004514020641,43.75,5.088634184557888,0.6934419510626375,1.0707825254328214,6.586550875084994
amp_mean,0.10574650107543901,0.14370173243203588,5.2864481034159185,2,0.3085164301472027,0.270321407724177,23.4375,3.9529935036162467,0.2866899742210089,0.4560780914593509,366.42229130636235
amp_std,0.04301419397899814,0.050152851804266846,0.6439189872897926,3,0.07462749169609884,0.057368136740733676,24.21875,5.988911343864045,1.1850733215456926,1.3439549721239843,60.62201890027914
amp_max,0.10422600159274314,0.13233975565020845,4.483535596942561,4,0.22595578928947005,0.13039105156784983,33.984375,3.9884099422071864,0.29344472547213957,0.45671866209765705,355.9607014301934
phase_std,0.07599193899881951,0.10957209748480774,3.0735474040883743,2,0.1983698531347981,0.16961350618659415,23.828125,3.9344952364304833,0.2699100547774542,0.36458384632535396,189.2278178477115
i_mean,0.012842920104864278,0.019880613526857088,0.10118113131628875,7,0.031408194420572265,0.01773226800272317,41.015625,4.765752556489007,0.5392763494505185,0.8726804393787813,5.404747361311687
q_mean,0.011739334704265834,0.020198522131561283,0.10444295585258775,6,0.0304196393405695,0.020159289143972817,46.484375,4.116321527586534,0.319074051434278,0.4759511338655185,4.51582292730255
amp_mean,0.11100867132081808,0.1504258645109054,5.792752822746437,2,0.3422368252170342,0.31318081736439307,24.21875,3.8577596806904495,0.2760391503363538,0.4446650794731912,403.79753941156025
amp_std,0.13754572131100268,0.16909665745434874,7.319981967931739,2,0.31435458524985643,0.29312514364518966,30.859375,5.251564378960572,0.7908369323745629,1.1483905704423922,619.9201515339885
amp_max,0.08680738331918107,0.11884221424928434,3.6156088032442373,6,0.18601227358223937,0.046941466310829405,37.5,5.80295000294131,1.0311812487901264,1.2751992997423076,246.90776747824157
phase_std,0.06395650240906164,0.08811547063883732,1.9876700584713731,5,0.07521019846365809,0.032069019222871656,34.765625,5.9396774424837755,1.062986271720527,1.2689479000210464,134.02461167969946
i_mean,0.010909864550058535,0.01733787621184576,0.07695409959354547,6,0.02958927142430236,0.018946556479955367,51.5625,4.573671470224535,0.4234044422168086,0.6239412444362504,3.9002128439913997
